asn,category,tags
1,ISP,Not Validating RPKI ROV|Hosting and Cloud Provider|Computer and Network Security|Service
131169,ISP,"Law, Business, and Consulting Services|Software Development|Service|Phone Provider"
131170,Other,"Print Media (Newspapers, Magazines, Books)|Media, Publishing, and Broadcasting|Electronics and Computer Components|Computer and Information Technology"
131181,Other,Computer and Information Technology|Not Validating RPKI ROV
131190,ISP,"Real Estate (Residential and/or Commercial)|Finance and Insurance|Insurance Carriers and Agencies|Investment, Portfolio Management, Pensions and Funds"
131210,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
131215,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
131218,Content/CDN,Computer and Information Technology|Hosting and Cloud Provider
131223,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology|Hosting and Cloud Provider
131226,Eyeball,"Research and Development Organizations|Colleges, Universities, and Professional Schools|Education and Research|Not Validating RPKI ROV"
131232,ISP,"Accountants, Tax Preparers, Payroll Services|Internet Service Provider (ISP)|Government and Public Administration|Computer and Information Technology"
131235,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Manufacturing|Software Development
131250,ISP,Computer and Information Technology|Internet Service Provider (ISP)
131255,ISP,"Banks, Credit Card Companies, Mortgage Providers|Internet Service Provider (ISP)|Insurance Carriers and Agencies|Finance and Insurance"
131256,Enterprise,"Law, Business, and Consulting Services|Finance and Insurance|Investment, Portfolio Management, Pensions and Funds|Service"
131262,Other,"Validating RPKI ROV|Manufacturing|Retail Stores, Wholesale, and E-commerce Sites|Machinery"
131263,Other,"Service|Social Assistance (Temporary Shelters, Emergency Relief, Child Day Care, etc)|Hospitals and Medical Centers|Health Care Services"
131265,Content/CDN,Not Validating RPKI ROV|Software Development|Service|Hosting and Cloud Provider
131269,ISP,"Eyeball|Technology Consulting Services|Media, Publishing, and Broadcasting|Internet Service Provider (ISP)"
131277,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Phone Provider
131283,Other,"Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance"
131299,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
131302,Other,Chemical and Pharmaceutical Manufacturing|Manufacturing
131308,ISP,Internet Service Provider (ISP)|Computer and Information Technology
131317,ISP,Computer and Information Technology|Internet Service Provider (ISP)
131333,Other,Service|Real Estate (Residential and/or Commercial)|Construction and Real Estate
131442,ISP,Internet Service Provider (ISP)|Computer and Information Technology
131453,Other,"Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers"
131458,Content/CDN,"Media, Publishing, and Broadcasting|Hosting and Cloud Provider|Finance and Insurance|Software Development"
131459,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)
131463,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
131468,ISP,Online Informational Content|Music and Video Industry|Internet Service Provider (ISP)|Service
131473,Academic/Edu,"Academic|Validating RPKI ROV|Colleges, Universities, and Professional Schools|Research and Development Organizations"
