asn,rank,name
7660,48,APAN-JP Asia Pacific Advanced Network - Japan
2497,86,IIJ Internet Initiative Japan Inc.
20473,105,AS-VULTR
60068,126,CDN77
2516,127,KDDI KDDI CORPORATION
17676,149,GIGAINFRA SoftBank Corp.
2500,257,WIDE-BB WIDE Project
4713,323,OCN NTT Communications Corporation
135607,342,INFINIVAN-AS-AP Infinivan Incorporated
2519,350,VECTANT ARTERIA Networks Corporation
