asn,rank,name
12389,16,ROSTELECOM-AS PJSC Rostelecom
3216,23,"SOVAM-AS PJSC ""Vimpelcom"""
20485,25,TRANSTELECOM Joint Stock Company TransTeleCom
31133,27,MF-MGSM-AS PJSC MegaFon
20764,28,RASCOM-AS CJSC RASCOM
28917,46,"Fiord-AS Fiord Networks, UAB"
35598,47,INETCOM INETCOM CARRIER LLC
8359,53,MTS MTS PJSC
9009,55,M247 M247 Europe SRL
9049,59,"ERTH-TRANSIT-AS JSC ""ER-Telecom Holding"""
