asn,rank,name
4134,125,"CHINANET-BACKBONE No.31,Jin-rong Street"
4837,215,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
9808,285,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd."
24490,365,TEIN2-SG-AP Trans-Eurasia Information Network TEIN2 - SG
4808,587,CHINA169-BJ China Unicom Beijing Province Network
4847,588,CNIX-AP China Networks Inter-Exchange
10111,724,ZEONET-AS-AP Zeofast Network
4809,779,CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network
4812,793,CHINANET-SH-AP China Telecom Group
56048,848,CMNET-BEIJING-AP China Mobile Communicaitons Corporation
