asn,category,tags
67,ISP,"Media, Publishing, and Broadcasting|Computer and Information Technology|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Law, Business, and Consulting Services"
68,Government,"Military, Defense, National Security, and International Affairs|Validating RPKI ROV|Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration"
69,Academic/Edu,Community Groups and Nonprofits|Education Software|Computer and Information Technology|Education and Research
70,Government,"Government|Validating RPKI ROV|Government and Public Administration|Government and Regulatory Agencies, Administrations, Departments, and Services"
71,ISP,Eyeball|Validating RPKI ROV|Manufacturing|Service
72,Other,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Validating RPKI ROV"
73,ISP,"Eyeball|Validating RPKI ROV|Service|Colleges, Universities, and Professional Schools"
393281,Government,"Not Validating RPKI ROV|Government and Public Administration|Retail Stores, Wholesale, and E-commerce Sites|Government and Regulatory Agencies, Administrations, Departments, and Services"
75,Government,"Military, Defense, National Security, and International Affairs|Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration|Utilities (Excluding Internet Service)"
76,ISP,"Law, Business, and Consulting Services|Education and Research|Internet Service Provider (ISP)|Service"
77,Academic/Edu,"Academic|Not Validating RPKI ROV|Education and Research|Colleges, Universities, and Professional Schools"
78,ISP,Radio and Television Providers|Service|Hosting and Cloud Provider|Internet Service Provider (ISP)
79,Academic/Edu,"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Education and Research|Community Groups and Nonprofits"
80,ISP,"Investment, Portfolio Management, Pensions and Funds|Computer and Information Technology|Banks, Credit Card Companies, Mortgage Providers|Internet Service Provider (ISP)"
81,ISP,Academic|Validating RPKI ROV|Computer and Information Technology|Hosting and Cloud Provider
82,ISP,"Tranco 10k Host|Military, Defense, National Security, and International Affairs|Computer and Information Technology|Internet Service Provider (ISP)"
83,ISP,Internet Service Provider (ISP)|Computer and Information Technology
84,Other,Manufacturing|Health Care Services
85,Academic/Edu,"Service|Research and Development Organizations|Government and Public Administration|Law, Business, and Consulting Services"
86,Other,Software Development|Computer and Information Technology|Technology Consulting Services
87,Academic/Edu,"Tranco 10k Host|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools|Education and Research"
88,Academic/Edu,"Tor services|Not Validating RPKI ROV|Education and Research|Colleges, Universities, and Professional Schools"
89,Government,Government|Health Care Services|Manufacturing
90,ISP,Software Development|Service|Internet Service Provider (ISP)|Computer and Information Technology
91,Academic/Edu,Academic|Validating RPKI ROV|Education and Research|Health Care Services
92,Eyeball,"Eyeball|Validating RPKI ROV|Education and Research|Colleges, Universities, and Professional Schools"
93,ISP,Computer and Information Technology|Internet Service Provider (ISP)
94,ISP,Internet Service Provider (ISP)|Computer and Information Technology
95,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
96,ISP,Computer and Information Technology|Internet Service Provider (ISP)
97,ISP,Computer and Information Technology|Validating RPKI ROV|Internet Service Provider (ISP)
98,Academic/Edu,"Validating RPKI ROV|Education and Research|Research and Development Organizations|Colleges, Universities, and Professional Schools"
99,ISP,Internet Service Provider (ISP)|Service|Software Development|Electronics and Computer Components
100,Other,"Retail Stores, Wholesale, and E-commerce Sites|Not Validating RPKI ROV"
101,Academic/Edu,"Academic|Education and Research|Colleges, Universities, and Professional Schools"
102,Academic/Edu,"Computer and Information Technology|Government and Regulatory Agencies, Administrations, Departments, and Services|Education and Research|Law, Business, and Consulting Services"
