asn,category,tags
196638,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
196641,Other,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Buildings (Residential or Commercial)|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Construction and Real Estate"
196642,Enterprise,"Buildings (Residential or Commercial)|Construction and Real Estate|Law, Business, and Consulting Services|Civil Engineering Construction (Utility Lines, Roads and Bridges)"
196648,Academic/Edu,"Colleges, Universities, and Professional Schools|Education and Research|"
196657,Eyeball,"Construction and Real Estate|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Buildings (Residential or Commercial)"
196660,Other,"Manufacturing|Clothing and Textiles|Retail Stores, Wholesale, and E-commerce Sites|"
196665,Eyeball,"Utilities (Excluding Internet Service)|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Construction and Real Estate"
196667,Other,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Postal Services and Couriers|Freight, Shipment, and Postal Services|Construction and Real Estate"
196673,ISP,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Freight, Shipment, and Postal Services|Buildings (Residential or Commercial)|Construction and Real Estate"
196685,ISP,"Internet Service Provider (ISP)|Retail Stores, Wholesale, and E-commerce Sites|Computer and Information Technology|Not Validating RPKI ROV"
196686,ISP,"Computer and Information Technology|Banks, Credit Card Companies, Mortgage Providers|Retail Stores, Wholesale, and E-commerce Sites|Internet Service Provider (ISP)"
196688,Other,"Freight, Shipment, and Postal Services|Water Transportation|Not Validating RPKI ROV|"
196691,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Computer and Network Security|
196695,ISP,"Tranco 10k Host|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Construction and Real Estate|Computer and Information Technology"
196698,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV|
196699,Enterprise,"Service|Law, Business, and Consulting Services|Media, Publishing, and Broadcasting|Not Validating RPKI ROV"
196705,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
196716,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
196719,ISP,"Construction and Real Estate|Retail Stores, Wholesale, and E-commerce Sites|Internet Service Provider (ISP)|Electronics and Computer Components"
196721,ISP,"Construction and Real Estate|Internet Service Provider (ISP)|Computer and Information Technology|Civil Engineering Construction (Utility Lines, Roads and Bridges)"
196726,ISP,"Software Development|Hosting and Cloud Provider|Service|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)"
196739,ISP,"Eyeball|Trucking|Computer and Information Technology|Retail Stores, Wholesale, and E-commerce Sites"
196742,ISP,"Eyeball|Not Validating RPKI ROV|Retail Stores, Wholesale, and E-commerce Sites|Law Enforcement, Public Safety, and Justice"
196747,ISP,Internet Service Provider (ISP)|Phone Provider|Computer and Information Technology|
196750,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Manufacturing
196754,ISP,Manufacturing|Electronics and Computer Components|Computer and Information Technology|Internet Service Provider (ISP)
196764,Unknown,
196767,ISP,"Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|Media, Publishing, and Broadcasting"
196768,Eyeball,"Service|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Retail Stores, Wholesale, and E-commerce Sites|Freight, Shipment, and Postal Services"
196780,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
196786,ISP,"Radio and Television Providers|Computer and Information Technology|Media, Publishing, and Broadcasting|Internet Service Provider (ISP)"
196791,ISP,"Computer and Information Technology|Service|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Museums, Libraries, and Entertainment"
196796,Other,"Finance and Insurance|Real Estate (Residential and/or Commercial)|Buildings (Residential or Commercial)|Retail Stores, Wholesale, and E-commerce Sites"
196797,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
196798,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV|
196812,ISP,"Internet Service Provider (ISP)|Computer and Information Technology|Museums, Libraries, and Entertainment|Not Validating RPKI ROV"
196847,Other,"Not Validating RPKI ROV|Manufacturing|Construction and Real Estate|Freight, Shipment, and Postal Services"
196879,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|
196884,Other,"Retail Stores, Wholesale, and E-commerce Sites|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|"
196894,Content/CDN,"Service|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Law, Business, and Consulting Services|Hosting and Cloud Provider"
196914,ISP,"Not Validating RPKI ROV|Hosting and Cloud Provider|Retail Stores, Wholesale, and E-commerce Sites|Internet Service Provider (ISP)"
196936,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV|Eyeball
196938,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
196949,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
196963,Other,"Retail Stores, Wholesale, and E-commerce Sites|"
196977,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|
196986,Enterprise,Construction and Real Estate|Computer and Information Technology|Real Estate (Residential and/or Commercial)|Service
196991,ISP,Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
197007,Other,"Freight, Shipment, and Postal Services|Retail Stores, Wholesale, and E-commerce Sites|"
197010,Other,"Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance|"
197015,Eyeball,Other|Not Validating RPKI ROV|Eyeball|
197023,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
197044,Other,"Trucking|Freight, Shipment, and Postal Services|"
197052,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV|Eyeball
197062,Eyeball,"Eyeball|Chemical and Pharmaceutical Manufacturing|Retail Stores, Wholesale, and E-commerce Sites|Manufacturing"
197068,Government,"Content|Military, Defense, National Security, and International Affairs|Computer and Network Security|Computer and Information Technology"
197070,ISP,Eyeball|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
197074,ISP,"Banks, Credit Card Companies, Mortgage Providers|Computer and Information Technology|Print Media (Newspapers, Magazines, Books)|Internet Service Provider (ISP)"
197078,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Construction and Real Estate
197080,Other,"Electronics and Computer Components|Service|Manufacturing|Media, Publishing, and Broadcasting"
197097,ISP,"Software Development|Law, Business, and Consulting Services|Internet Service Provider (ISP)|Retail Stores, Wholesale, and E-commerce Sites"
197120,Eyeball,"Construction and Real Estate|Museums, Libraries, and Entertainment|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Not Validating RPKI ROV"
197129,Eyeball,"Eyeball|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|"
197140,Eyeball,"Eyeball|Service|Law, Business, and Consulting Services|"
197150,Other,"Buildings (Residential or Commercial)|Retail Stores, Wholesale, and E-commerce Sites|Construction and Real Estate|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)"
197152,ISP,Eyeball|Not Validating RPKI ROV|Construction and Real Estate|Internet Service Provider (ISP)
197153,Eyeball,"Law Enforcement, Public Safety, and Justice|Government and Public Administration|Not Validating RPKI ROV|Eyeball"
197159,Eyeball,"Eyeball|Not Validating RPKI ROV|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|"
197163,Content/CDN,Computer and Information Technology|Finance and Insurance|Hosting and Cloud Provider|Software Development
197169,ISP,"Software Development|Computer and Information Technology|Internet Service Provider (ISP)|Retail Stores, Wholesale, and E-commerce Sites"
197171,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
197175,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
197185,Other,"Banks, Credit Card Companies, Mortgage Providers|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Finance and Insurance|Buildings (Residential or Commercial)"
197193,Enterprise,"Construction and Real Estate|Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance|Real Estate (Residential and/or Commercial)"
197204,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
197235,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
197257,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
197258,Other,"Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance|"
197273,ISP,"Electric Power Generation, Transmission, Distribution|Utilities (Excluding Internet Service)|Freight, Shipment, and Postal Services|Internet Service Provider (ISP)"
197275,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
197276,ISP,"Software Development|Internet Service Provider (ISP)|Print Media (Newspapers, Magazines, Books)|Computer and Information Technology"
197280,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
197292,Other,Service|
197298,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
197303,Enterprise,"Real Estate (Residential and/or Commercial)|Service|Law, Business, and Consulting Services|Construction and Real Estate"
197306,ISP,Software Development|Manufacturing|Computer and Information Technology|Internet Service Provider (ISP)
197309,ISP,"Server Hosting|Service|Hosting and Cloud Provider|Law, Business, and Consulting Services"
197311,ISP,"Eyeball|Buildings (Residential or Commercial)|Construction and Real Estate|Civil Engineering Construction (Utility Lines, Roads and Bridges)"
197315,Other,"Not Validating RPKI ROV|Construction and Real Estate|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Museums, Libraries, and Entertainment"
197333,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
197340,Other,"Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers|Not Validating RPKI ROV|"
197349,ISP,Computer and Information Technology|Buildings (Residential or Commercial)|Construction and Real Estate|Internet Service Provider (ISP)
197360,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
197366,ISP,"Buildings (Residential or Commercial)|Construction and Real Estate|Software Development|Civil Engineering Construction (Utility Lines, Roads and Bridges)"
197379,Content/CDN,"Service|Hosting and Cloud Provider|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Computer and Information Technology"
197382,Enterprise,"Law, Business, and Consulting Services|Service|"
197392,ISP,"Eyeball|Computer and Information Technology|Manufacturing|Retail Stores, Wholesale, and E-commerce Sites"
197394,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
197404,Other,"Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance|"
197406,ISP,"Internet Service Provider (ISP)|Retail Stores, Wholesale, and E-commerce Sites|Computer and Information Technology|"
197420,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
197449,Other,Construction and Real Estate|Real Estate (Residential and/or Commercial)|
197453,ISP,"Eyeball|Construction and Real Estate|Buildings (Residential or Commercial)|Freight, Shipment, and Postal Services"
197460,Eyeball,"Eyeball|Service|Law, Business, and Consulting Services|Not Validating RPKI ROV"
197461,Other,"Retail Stores, Wholesale, and E-commerce Sites|Real Estate (Residential and/or Commercial)|Construction and Real Estate|"
197467,Academic/Edu,"Academic|Colleges, Universities, and Professional Schools|Education and Research|Not Validating RPKI ROV"
197468,Enterprise,"Law, Business, and Consulting Services|Service|"
197482,Enterprise,"Tranco 10k Host|Law, Business, and Consulting Services|Retail Stores, Wholesale, and E-commerce Sites|Media, Publishing, and Broadcasting"
197489,Content/CDN,"Service|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Education and Research|Research and Development Organizations"
197498,Eyeball,"Retail Stores, Wholesale, and E-commerce Sites|Food, Grocery, Beverages|Buildings (Residential or Commercial)|Construction and Real Estate"
197499,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV|Eyeball
197526,Academic/Edu,"Colleges, Universities, and Professional Schools|Education and Research|Not Validating RPKI ROV|Academic"
197531,Other,Software Development|Computer and Information Technology|
197535,ISP,"Validating RPKI ROV|Retail Stores, Wholesale, and E-commerce Sites|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Construction and Real Estate"
197553,Academic/Edu,Buildings (Residential or Commercial)|Construction and Real Estate|Education and Research|Research and Development Organizations
197559,Other,"Investment, Portfolio Management, Pensions and Funds|Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers|Service"
197567,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology|Automotive and Transportation
197571,Other,Tranco 10k Host|
197574,Other,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Freight, Shipment, and Postal Services|Retail Stores, Wholesale, and E-commerce Sites|Construction and Real Estate"
197577,ISP,"Finance and Insurance|Service|Law, Business, and Consulting Services|Banks, Credit Card Companies, Mortgage Providers"
197585,ISP,"Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Media, Publishing, and Broadcasting"
197591,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
197596,Unknown,
197627,Other,"Banks, Credit Card Companies, Mortgage Providers|Real Estate (Residential and/or Commercial)|Construction and Real Estate|Finance and Insurance"
197628,ISP,"Passenger Transit (Car, Bus, Taxi, Subway)|Computer and Information Technology|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Freight, Shipment, and Postal Services"
197632,ISP,"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Service|Computer and Information Technology|Internet Service Provider (ISP)"
33797,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
33819,Eyeball,"Eyeball|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Colleges, Universities, and Professional Schools|Buildings (Residential or Commercial)"
197665,Other,"Retail Stores, Wholesale, and E-commerce Sites|Food, Grocery, Beverages|"
197668,Government,"Retail Stores, Wholesale, and E-commerce Sites|Freight, Shipment, and Postal Services|Manufacturing|Government"
197673,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV|
33842,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
33844,Enterprise,"Investment, Portfolio Management, Pensions and Funds|Software Development|Banks, Credit Card Companies, Mortgage Providers|Computer and Information Technology"
197693,Other,"Manufacturing|Clothing and Textiles|Retail Stores, Wholesale, and E-commerce Sites|Clothing, Fashion, Luggage"
197695,ISP,"Eyeball|Retail Stores, Wholesale, and E-commerce Sites|Internet Service Provider (ISP)|Computer and Information Technology"
197700,Other,"Construction and Real Estate|Buildings (Residential or Commercial)|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)"
33871,ISP,"Eyeball|Electric Power Generation, Transmission, Distribution|Construction and Real Estate|Passenger Transit (Car, Bus, Taxi, Subway)"
197714,Unknown,
197717,ISP,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Buildings (Residential or Commercial)|Freight, Shipment, and Postal Services|Passenger Transit (Car, Bus, Taxi, Subway)"
197718,Other,Real Estate (Residential and/or Commercial)|Construction and Real Estate|Not Validating RPKI ROV|
197725,Other,"Construction and Real Estate|Passenger Transit (Car, Bus, Taxi, Subway)|Utilities (Excluding Internet Service)|Freight, Shipment, and Postal Services"
33887,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Phone Provider|
33888,Academic/Edu,"Media, Publishing, and Broadcasting|Research and Development Organizations|Construction and Real Estate|Print Media (Newspapers, Magazines, Books)"
197728,Other,"Construction and Real Estate|Retail Stores, Wholesale, and E-commerce Sites|Buildings (Residential or Commercial)|"
33892,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Software Development
197733,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
33894,ISP,"Eyeball|Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration|Internet Service Provider (ISP)"
33899,Other,"Health Care Services|Freight, Shipment, and Postal Services|Hospitals and Medical Centers|"
33902,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Eyeball|
33903,Other,"Service|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Retail Stores, Wholesale, and E-commerce Sites|Construction and Real Estate"
33904,ISP,"Computer and Information Technology|Internet Service Provider (ISP)|Retail Stores, Wholesale, and E-commerce Sites|"
33908,ISP,Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
197756,ISP,"Government and Public Administration|Computer and Information Technology|Finance and Insurance|Government and Regulatory Agencies, Administrations, Departments, and Services"
197757,Unknown,
197760,Enterprise,"Service|Buildings (Residential or Commercial)|Construction and Real Estate|Law, Business, and Consulting Services"
197765,Other,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Computer and Information Technology|Construction and Real Estate|"
197768,Academic/Edu,"Elementary and Secondary Schools|Print Media (Newspapers, Magazines, Books)|Law, Business, and Consulting Services|Service"
197773,Other,Service|
33934,ISP,Eyeball|Phone Provider|Internet Service Provider (ISP)|Computer and Information Technology
33936,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Service|Computer and Information Technology
197780,Other,"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Service|Buildings (Residential or Commercial)|Construction and Real Estate"
197783,Other,"Print Media (Newspapers, Magazines, Books)|Buildings (Residential or Commercial)|Manufacturing|Civil Engineering Construction (Utility Lines, Roads and Bridges)"
197786,ISP,"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Retail Stores, Wholesale, and E-commerce Sites|Software Development|Computer and Information Technology"
197793,ISP,Home ISP|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
33962,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|
197808,Other,"Electronics and Computer Components|Manufacturing|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Buildings (Residential or Commercial)"
33972,Government,"Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration|Finance and Insurance|"
197821,Other,"Buildings (Residential or Commercial)|Freight, Shipment, and Postal Services|Construction and Real Estate|Chemical and Pharmaceutical Manufacturing"
197826,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
33987,Other,Computer and Information Technology|Software Development|
33991,ISP,"Eyeball|Computer and Information Technology|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Construction and Real Estate"
197831,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
33993,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV|Eyeball
34017,Academic/Edu,"Education and Research|Colleges, Universities, and Professional Schools|"
197857,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology|Service|Software Development
197865,Other,"Retail Stores, Wholesale, and E-commerce Sites|Food, Grocery, Beverages|Buildings (Residential or Commercial)|Construction and Real Estate"
197868,Other,"Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance|"
34033,Other,"Service|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Retail Stores, Wholesale, and E-commerce Sites"
197873,Other,"Computer and Information Technology|Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance|Investment, Portfolio Management, Pensions and Funds"
34038,ISP,Eyeball|Internet Service Provider (ISP)|Phone Provider|Computer and Information Technology
197878,Content/CDN,"Manufacturing|Retail Stores, Wholesale, and E-commerce Sites|Computer and Information Technology|Hosting and Cloud Provider"
197880,ISP,Software Development|Computer and Information Technology|Internet Service Provider (ISP)|Finance and Insurance
34042,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|
34047,Eyeball,Computer and Information Technology|Hosting and Cloud Provider|Eyeball|
197888,ISP,"Internet Service Provider (ISP)|Radio and Television Providers|Museums, Libraries, and Entertainment|Music and Video Industry"
34052,Academic/Edu,"Retail Stores, Wholesale, and E-commerce Sites|Research and Development Organizations|Electronics and Computer Components|Manufacturing"
197896,Other,"Investment, Portfolio Management, Pensions and Funds|Computer and Information Technology|Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers"
197905,Content/CDN,"Retail Stores, Wholesale, and E-commerce Sites|Hosting and Cloud Provider|Service|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)"
197911,ISP,Hosting and Cloud Provider|Software Development|Computer and Information Technology|Internet Service Provider (ISP)
34085,Enterprise,"Hotels, Motels, Inns, Other Traveler Accommodation|Clothing, Fashion, Luggage|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Law, Business, and Consulting Services"
197934,Other,"Banks, Credit Card Companies, Mortgage Providers|Computer and Information Technology|Finance and Insurance|Investment, Portfolio Management, Pensions and Funds"
34098,Other,"Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers|"
