asn,rank,name
9002,11,RETN-AS RETN Limited
12389,18,ROSTELECOM-AS PJSC Rostelecom
3216,23,"SOVAM-AS PJSC ""Vimpelcom"""
31133,28,MF-MGSM-AS PJSC MegaFon
20764,30,RASCOM-AS CJSC RASCOM
20485,32,TRANSTELECOM Joint Stock Company TransTeleCom
35598,44,INETCOM INETCOM CARRIER LLC
28917,46,"Fiord-AS Fiord Networks, UAB"
8359,52,MTS MTS PJSC
9049,60,"ERTH-TRANSIT-AS JSC ""ER-Telecom Holding"""
