asn,category,tags
213150,Other,"Civil Engineering Construction (Utility Lines, Roads and Bridges)|Construction and Real Estate|"
49313,ISP,Internet Service Provider (ISP)|Hosting and Cloud Provider|Computer and Information Technology|
8356,Other,"Validating RPKI ROV|Media, Publishing, and Broadcasting|"
49316,ISP,"Computer and Information Technology|Internet Service Provider (ISP)|Service|Civil Engineering Construction (Utility Lines, Roads and Bridges)"
24742,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology|Finance and Insurance
49318,ISP,Technology Consulting Services|Internet Service Provider (ISP)|Computer and Information Technology|
196778,Eyeball,"Eyeball|Government|Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration"
49324,Government,"Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration|Government|"
174,ISP,T1|Computer and Information Technology|Internet Service Provider (ISP)|Validating RPKI ROV
213169,Other,Buildings (Residential or Commercial)|Construction and Real Estate|Personal ASN|
204978,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
204979,Other,"Computer and Information Technology|Community Groups and Nonprofits|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Search"
8372,ISP,Hosting and Cloud Provider|Computer and Information Technology|Internet Service Provider (ISP)|
213183,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Service|Computer and Information Technology
49344,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
213185,Eyeball,Education and Research|Personal ASN|Eyeball|
204997,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology|
213190,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
24775,Government,"Government and Public Administration|Computer and Network Security|Military, Defense, National Security, and International Af-|Computer and Information Technology"
196809,Other,"Online Music and Video Streaming Services|Investment, Portfolio Management, Pensions and Funds|Finance and Insurance|Media, Publishing, and Broadcasting"
24778,ISP,Not Validating RPKI ROV|Software Development|Hosting and Cloud Provider|Internet Service Provider (ISP)
49354,ISP,Phone Provider|Internet Service Provider (ISP)|Computer and Information Technology|
196813,Enterprise,"Law, Business, and Consulting Services|Service|"
205006,Other,"Print Media (Newspapers, Magazines, Books)|Museums, Libraries, and Entertainment|Media, Publishing, and Broadcasting|Manufacturing"
8401,Other,"Media, Publishing, and Broadcasting|Music and Video Industry|Museums, Libraries, and Entertainment|"
213201,Academic/Edu,Personal ASN|Education and Research|
205011,Enterprise,"Software Development|Law, Business, and Consulting Services|Computer and Information Technology|Service"
205012,Enterprise,"Law, Business, and Consulting Services|Software Development|Computer and Information Technology|Service"
213202,ISP,Corporate/Enterprise|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
401626,Unknown,
213210,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
49372,Other,"Retail Stores, Wholesale, and E-commerce Sites|"
57565,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology|Finance and Insurance
49374,ISP,"Internet Service Provider (ISP)|Online Informational Content|Media, Publishing, and Broadcasting|Computer and Information Technology"
49375,ISP,Home ISP|Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV
57567,Other,"Recreation, Sports, and Performing Arts|Museums, Libraries, and Entertainment|Software Development|Casinos and Gambling"
8419,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
24807,ISP,"Computer and Information Technology|Internet Service Provider (ISP)|Service|Law, Business, and Consulting Services"
196839,Unknown,
8426,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV
205039,ISP,"Media, Publishing, and Broadcasting|Internet Service Provider (ISP)|Computer and Information Technology|Online Informational Content"
57586,Unknown,
8435,Other,"Validating RPKI ROV|Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance|"
41203,Other,"Freight, Shipment, and Postal Services|"
49396,Unknown,
49398,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology|Phone Provider
213234,Eyeball,"Eyeball|Retail Stores, Wholesale, and E-commerce Sites|Personal ASN|"
49401,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
8444,Other,Validating RPKI ROV|Finance and Insurance|
205052,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
205056,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
205058,Academic/Edu,Education and Research|
57604,Content/CDN,Computer and Information Technology|Hosting and Cloud Provider|
49415,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
8457,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
24842,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
49418,ISP,Carrier|Hosting and Cloud Provider|Service|Software Development
196875,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Hosting and Cloud Provider|Software Development
41230,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
41231,ISP,Content|Hosting and Cloud Provider|Software Development|Internet Service Provider (ISP)
41232,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Validating RPKI ROV
49425,ISP,Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
196881,ISP,Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
205072,ISP,Computer and Information Technology|Hosting and Cloud Provider|Internet Service Provider (ISP)|
8468,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Validating RPKI ROV
213262,Academic/Edu,Education and Research|
213265,Other,Service|
8472,Other,Service|
57624,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
213272,Content/CDN,Software Development|Computer and Information Technology|Finance and Insurance|Hosting and Cloud Provider
41246,ISP,"Online Informational Content|Internet Service Provider (ISP)|Computer and Information Technology|Media, Publishing, and Broadcasting"
49438,ISP,Technology Consulting Services|Computer and Information Technology|Internet Service Provider (ISP)|
49440,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
24865,ISP,Computer and Network Security|Internet Service Provider (ISP)|Computer and Information Technology|Personal ASN
205090,Content/CDN,Tranco 10k Host|Computer and Information Technology|Hosting and Cloud Provider|Server Hosting
24867,ISP,"Not Validating RPKI ROV|Computer and Information Technology|Hosting and Cloud Provider|Law, Business, and Consulting Services"
205091,Unknown,
196902,Academic/Edu,Elementary and Secondary Schools|Education and Research|Not Validating RPKI ROV|Government
41255,Academic/Edu,Education and Research|
49448,ISP,Computer and Information Technology|Software Development|Internet Service Provider (ISP)|
213287,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
205098,Other,Software Development|Computer and Information Technology|
213289,ISP,"Computer and Information Technology|Law, Business, and Consulting Services|Service|Internet Service Provider (ISP)"
49454,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV|
57650,Academic/Edu,Elementary and Secondary Schools|Computer and Information Technology|Research and Development Organizations|Community Groups and Nonprofits
205106,ISP,Software Development|Online Informational Content|Internet Service Provider (ISP)|Computer and Information Technology
57653,ISP,Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
205114,Other,"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)|Service|Not Validating RPKI ROV|"
41276,Other,"Service|Media, Publishing, and Broadcasting|"
