asn,rank,name
174,3,COGENT-174
9002,13,RETN-AS RETN Limited
1273,15,CW Vodafone Group PLC
8220,45,COLT COLT Technology Services Group Limited
4455,53,BSO IX Reach Ltd
15412,60,FLAG-AS FLAG TELECOM UK LIMITED
13335,77,CLOUDFLARENET
3223,86,VOXILITY Voxility LLP
41095,100,IPTP IPTP LTD
60068,133,CDN77 Datacamp Limited
