asn,rank,name
174,3,COGENT-174
9002,11,RETN-AS RETN Limited
15412,40,FLAG-AS FLAG TELECOM UK LIMITED
8220,42,COLT COLT Technology Services Group Limited
4455,55,BSO IX Reach Ltd
13335,80,CLOUDFLARENET
3223,88,VOXILITY Voxility LLP
41095,108,IPTP IPTP LTD
60068,133,CDN77 Datacamp Limited
30844,140,LIQUID-AS Liquid Telecommunications Ltd
