asn,rank,name
1299,2,TWELVE99 Arelion Sweden AB
174,3,COGENT-174
5511,12,Opentransit Orange S.A.
60068,133,CDN77 Datacamp Limited
8218,172,NEO-ASN Zayo Infrastructure France SA
35280,177,F5 F5 Networks SARL
30781,239,JAGUAR-AS Free Pro SAS
29075,252,IELO IELO-LIAZO SERVICES SAS
3215,267,AS3215 Orange S.A.
199524,290,GCORE G-Core Labs S.A.
