src,dst
41666,45102
45102,47957
10111,20485
206499,216299
52320,55967
24482,133865
209090,209650
293,132203
10111,142271
151673,213605
20485,153725
24429,58511
8888,153725
35360,153725
3491,4809
4809,7713
48185,212793
45352,133865
15547,55967
39351,199310
10111,16552
39249,209650
210426,216182
174,9929
32590,137753
4134,37721
142271,146834
57050,202782
8888,213605
4134,53828
24429,44324
48237,132203
24429,60539
24429,48646
7721,215956
200936,209823
45102,200242
7497,36236
7768,24429
52075,132203
24482,212793
56987,212793
4621,45102
4766,4809
4651,45102
1764,55967
39120,55967
45102,150000
50629,212164
55967,205112
4809,45701
39351,205794
10111,45896
14537,139799
23673,63631
45102,45489
10111,15802
24429,37721
1239,24429
34019,153725
9902,132203
42541,132203
2500,55967
209090,212793
4134,23910
17290,153725
34872,216299
63927,134578
34927,200959
42541,202782
137753,142271
7768,212164
4134,25091
6204,55967
137409,140633
4134,37105
51087,204211
24429,39386
49544,153725
32590,38345
4134,4809
55967,60171
4134,37239
24429,51184
50629,216299
134823,146834
25152,146762
24482,212164
62167,132203
53828,142111
133210,146762
7473,132203
150000,150289
38008,140633
5511,45102
4134,6461
4775,24429
209022,209294
14907,45102
4538,4837
4538,8220
7768,216299
12859,45102
3212,45102
24429,25091
3223,4809
24961,45102
24429,37105
4134,10099
37100,132203
51087,211729
4837,8529
24516,45102
6453,132203
61573,132203
7497,38345
4134,34019
6461,24429
24429,28716
50869,205369
24429,37239
6696,132203
24482,216299
12552,132203
3216,132203
4538,23764
10111,58717
137409,216299
4181,24429
955,132203
559,132203
17290,200936
137409,142111
6939,132203
24429,35266
8966,63631
701,4134
199310,209823
8529,146762
8359,45102
3491,137753
1828,55967
4134,31133
6939,202782
45701,209650
63927,140633
4809,24482
35598,45102
4837,45899
3204,205794
31027,132203
7470,24429
14537,45102
38345,45796
23673,38345
924,205794
6762,55967
24429,34019
4608,146762
200959,210937
199310,207529
45701,133865
9902,10111
36924,45102
6663,24429
4775,142111
24429,31133
51185,153725
199932,216182
4809,24429
38001,45102
1299,4134
29075,55967
34872,200959
20485,209650
8888,209650
63927,142111
45102,58057
200936,209022
38082,63631
4134,36236
4809,58511
3204,210426
45102,58299
206499,210426
45102,59238
45102,134823
5580,133865
4837,5511
199310,200242
4134,56665
9498,137753
134578,137409
45701,212793
51185,151673
7713,134578
34288,55967
16552,132203
9808,56048
45102,199938
8298,199310
2914,45102
132203,199524
24429,45430
51185,199392
58299,209294
7768,200959
4134,24961
4842,20473
3491,9929
29632,199310
58453,132203
58057,132203
12389,45102
7721,51087
4808,10100
4134,64049
955,10111
17639,142111
55967,142271
6939,10111
55967,198150
1273,45102
24429,36236
38345,49544
153725,205112
24115,55967
2914,4538
15802,133865
24429,135391
59238,132203
10111,38008
50629,205794
24429,56665
4775,4809
57050,151673
15958,132203
51185,204211
4809,17639
3223,137753
47692,153725
34019,209650
57050,199392
52025,205369
25220,132203
1267,24429
139317,199073
24429,40934
8220,55967
42541,55967
139799,198150
13058,24429
20485,212793
24429,24961
14630,55967
199932,213151
7721,139317
6663,45102
8298,205794
5580,24429
4809,53828
10111,58453
4837,7473
24429,64049
4766,9929
4181,4809
23764,55967
45102,64475
20485,24429
41327,153725
4229,10111
4809,20485
57050,204211
64475,132203
8888,24429
56662,213605
10111,63956
9044,132203
4230,45102
10111,151326
4637,4809
134823,213605
51185,211729
45796,146762
3303,132203
3204,199932
7720,10111
25091,205794
30781,45102
2516,9929
7713,140633
10111,17660
5580,140633
35625,132203
32590,132203
3333,132203
24429,213151
4621,55967
10099,24429
1031,24429
835,150289
36236,55967
32590,202782
24482,63631
49544,133865
174,10111
4809,9318
50629,210426
58299,213605
45102,150369
15802,24429
17557,55967
4134,6762
9498,146762
8529,132203
132203,140627
45102,47147
37100,153725
57050,211729
58511,146762
8888,212164
55967,58057
61573,153725
4134,47957
38195,137753
3214,132203
8298,210426
9304,55967
55967,58299
33891,45102
45489,133865
12552,55967
55967,134823
39351,45102
24429,209823
1299,4809
559,153725
