asn,CAIDA ASRank,APNIC eyeball estimates (CN),IHR country ranking: Total eyeball (CN),IHR country ranking: Total AS (CN),CrUX top 1M (CN)
63540,18956,,,,
139462,19100,,,,
139887,19199,92,,,
140886,19297,,,,
147038,19403,,,,
38345,19541,,,,
18257,19646,,,,
132536,19792,,,,
146834,19836,,,,
38378,19882,,,,
138991,19919,,,,
45086,20061,,,,
59011,20061,,,,
136194,20061,,,,
134767,20061,,,,
24427,20241,,,,
9810,20318,,,,
131565,20428,,,,
142608,20677,,,,
4611,20677,,,,
59045,20755,,,,
146842,20848,,,,
59067,20926,,,,
63531,21078,,,,
151397,21483,,,,
56012,21504,,,,
56013,21529,,,,
38358,21593,,,,
59029,21593,,,,
17781,21593,,,,
59009,21593,,,,
24147,21736,,,,
139099,21736,,,,
140903,22174,,,,
151263,22174,,,,
37970,22174,,,,
38367,22174,,,,
4859,22174,,,,
132833,22174,,,,
7640,22174,,,,
134421,22174,,,,
141006,22174,,,,
37942,22786,,,,
37969,23046,,,,
63555,23119,,,,
133952,23568,,,,
139148,23801,,,,
59043,23963,,,,
45101,23963,,,,
63695,24197,,,,
55468,24584,,,,
63708,24727,,,,
63621,24727,,,,
152711,25023,,,,
18241,25121,,,,
4813,25294,,,,
38379,25633,,,,
58852,25728,,,,
135054,25904,,,,
138570,25904,,,,
131522,25904,,,,
38375,26589,,,,
63561,26714,,,,
136189,27027,,,,
38380,27027,,,,
23852,27027,,,,
63570,27027,,,,
63633,27816,,,,
63719,27816,,,,
137788,27816,,,,
58854,27816,,,,
151295,27816,,,,
59084,27816,,,,
45074,27816,,,,
132437,27816,,,,
139172,27816,,,,
38255,27816,,,,
63607,27816,,,,
63620,27816,,,,
58866,29054,,,,
137798,29173,,,,
63689,29173,,,,
131506,29395,,,,
146841,29395,,,,
24404,29395,,,,
138949,29395,,,,
140318,29395,81,,,
205418,29395,,,,
137753,29723,,,,
56006,29803,,,,
58536,29826,,,,
131495,29984,,,,
63548,30198,,,,
63593,30198,,,,
59048,30198,,,,
63603,30198,,,,
135363,30198,,,,
151270,30631,,,,
9803,30631,,,,
59064,30631,,,,
131539,30631,,,,
140484,30631,,,,
136180,31294,,,,
63959,31474,,,,
58811,31474,,,,
212371,31731,,,,
139769,31731,,,,
141025,32281,,,,
37936,32281,,,,
58518,32281,,,,
149979,32281,,,,
136237,34057,,,,
139138,34059,,,,
133219,34290,,,,
212237,34295,,,,
55966,34295,,,,
138545,35029,,,,
131578,35029,,,,
137801,35029,,,,
58862,36223,,,,
56011,36223,,,,
55982,36223,,,,
55971,36223,,,,
59012,36223,,,,
58448,36223,,,,
9405,36223,,,,
137806,36223,,,,
45071,36223,,,,
59074,36223,,,,
56000,36223,,,,
137787,36223,,,,
63629,36223,,,,
137745,36223,,,,
59049,36223,,,,
56002,36223,,,,
63617,36223,,,,
63634,36223,,,,
151300,39683,,,,
55786,39683,,,,
139177,39683,,,,
59089,39683,,,,
63614,39683,,,,
56003,39683,,,,
137715,39683,,,,
146835,39683,,,,
132019,39683,,,,
55973,39683,,,,
140329,39683,,,,
139128,39683,,,,
45057,39683,,,,
131519,39683,,,,
138029,39683,,,,
131497,39683,,,,
59057,39683,,,,
17490,39683,,,,
136955,39683,,,,
131567,39683,,,,
151296,39683,,,,
146809,39683,,,,
63704,39683,,,,
137782,39683,,,,
142111,44489,,,,
24409,44582,,,,
58850,44669,,,,
63641,44669,,,,
38057,44930,,,,
137746,44930,,,,
24141,45422,,,,
139110,45422,,,,
59073,45422,,,,
210634,46606,,,,
137571,46606,,,,
58517,46606,,,,
24376,46606,,,,
131524,46606,,,,
136766,46606,,,,
139726,46606,,,,
137764,46606,,,,
135426,48000,,,,
140633,48067,,,,
24406,48145,,,,
135432,48405,,,,
146782,48776,,,,
55956,48776,,,,
9818,48776,,,,
38834,49862,,,,
146814,49862,,,,
38564,49862,,,,
146812,49862,,,,
24149,49862,,,,
131558,49862,,,,
133475,49862,,,,
59068,49862,,,,
153725,49862,,,,
137785,49862,,,,
63580,49862,,,,
139139,49862,,,,
151302,49862,,,,
146806,49862,,,,
9805,49862,,,,
150166,49862,,,,
