src,dst,hege
4134,1299,0.08449864320169904
4134,6939,0.35723555039209987
4134,174,0.06246891337419283
4538,6939,0.3823051948051948
4538,3491,0.14556277056277053
4538,1299,0.15854978354978352
4538,6453,0.14556277056277053
4538,2914,0.14556277056277053
4538,58453,0.14339826839826839
4538,174,0.17370129870129866
4538,140570,0.06057990053871933
4538,6939,0.1527843018506284
4538,4635,0.15618126796938814
4538,23764,0.12622935651613146
4538,58453,0.3421913555864149
4611,6939,0.08333333333333333
4611,1299,0.08333333333333333
4808,6939,0.44925005431485404
4808,1299,0.10240602223051244
4808,174,0.083361048093358
4808,3356,0.08627615450660159
4809,9304,0.3383055235903338
4809,6939,0.48387154775604135
4809,23764,0.536536248561565
4809,812,0.19016110471806674
4809,20485,0.06885428653624856
4809,3356,0.0749388665132336
4809,1299,0.1689291565510794
4809,3356,0.2865017626390525
4809,6939,0.07892977664689019
4811,6939,0.4090909090909091
4811,1299,0.06968404275364162
4811,6939,0.05035237388724036
4812,3356,0.05018421379798405
4812,6939,0.41287390659169015
4812,23764,0.07261019156959879
4812,23764,0.12085799518900442
4812,1299,0.07587820226186325
4813,6939,0.4090909090909091
4813,1299,0.08333333333333333
4816,6939,0.4090909090909091
4816,1299,0.08284023668639053
4835,1299,0.08449754901960783
4835,6939,0.4090909090909091
4837,1299,0.12940951659867672
4837,6939,0.3717532467532468
4837,3320,0.12636277387919018
4837,6939,0.07747609467767773
4842,53356,1.0
4842,1299,0.1558441558441558
4842,6939,0.7857142857142857
4842,20473,0.28571428571428564
4842,2914,0.10389610389610388
4842,6939,0.9583333333333334
4847,23764,0.24040404040404037
4847,3356,0.10618686868686869
4847,6939,0.4623737373737374
4847,6939,0.09686564254946672
4847,1299,0.12175230147149313
4847,3356,0.09985411048358173
4859,6939,0.08333333333333333
4859,1299,0.16666666666666666
4859,3320,0.09090909090909091
4859,6939,0.45454545454545453
7497,6939,0.06819512766455844
7497,6939,0.27108433734939763
7497,174,0.7515060240963856
7497,3491,0.27108433734939763
7497,3491,0.1515101604591239
7497,174,0.5405173928320449
7609,1299,0.125
7609,6939,0.08333333333333333
7640,6939,0.0625
7640,1299,0.0625
7641,1299,0.08333333333333333
7641,6939,0.4090909090909091
7641,3356,0.05686652538547648
7653,1299,0.16666666666666666
7653,6939,0.0625
7653,174,0.16666666666666666
7721,955,0.9166666666666666
7721,17433,0.19020979020979017
7721,7720,0.15384615384615383
7721,6939,0.7202797202797203
7721,137409,0.07692307692307693
7721,955,0.5284965034965035
7721,214481,0.07692307692307691
7721,17433,0.0625
7721,137409,0.0625
7721,6939,0.8333333333333334
9306,6939,0.10416666666666667
9306,1299,0.125
9308,174,0.06175232719350366
9308,1299,0.0832244008714597
9389,2914,0.18181818181818182
9389,6453,0.13636363636363635
9389,1299,0.13854470359572402
9389,6939,0.09062196307094267
9405,6939,1.0
9405,6453,0.3333333333333333
9405,1299,0.19166666666666665
9405,174,0.47187500000000004
9425,6939,1.0
9802,3356,0.10416666666666667
9802,174,0.10416666666666667
9802,1299,0.10416666666666667
9803,6939,0.0625
9803,1299,0.0625
9805,1299,0.08333333333333333
9805,3356,0.0625
9807,1299,0.08333333333333333
9807,6939,0.4090909090909091
9808,6939,0.4169787015496418
9808,3356,0.08952272070225235
9808,58453,0.9861301215522473
9808,58453,0.9931092168153833
9808,3356,0.26376597041396943
9809,1299,0.08458333333333333
9810,1299,0.06875
9810,6939,0.06041666666666667
9811,1299,0.1037037037037037
9811,174,0.10243055555555554
9811,3356,0.10185185185185185
9812,3491,0.07196969696969696
9812,6939,0.5814393939393939
9812,1299,0.06814641744548287
9814,6939,0.45454545454545453
9814,3356,0.13636363636363635
9814,58453,1.0
9814,1299,0.08107379767827529
9818,1299,0.08333333333333333
9818,6939,0.4090909090909091
9818,58453,0.09090909090909091
9929,174,0.11266297372154294
9929,6939,0.43494254850061104
9929,1299,0.06533534357286298
9929,174,0.4969232138727276
9929,3320,0.1600282475140026
9939,174,0.061197916666666664
10111,3491,0.10283920624829715
10111,6939,0.7078466987557898
10111,174,0.05452350679623406
10111,3491,0.18823882623224727
10111,174,0.27955565998329157
10111,6939,0.13775976399331663
10111,1299,0.1781811299081036
10111,3356,0.07481464076858814
10206,6939,0.08333333333333333
10206,1299,0.18055555555555555
10206,6939,0.4090909090909091
10212,58453,1.0
10212,174,0.09090909090909091
10212,3356,0.09090909090909091
10212,6939,0.36363636363636365
10212,58453,0.9484817367492807
10212,3356,0.15796261487050958
10212,1299,0.09755291005291006
10212,174,0.052467657345274775
17428,6939,0.4242424242424242
17428,1299,0.08485772357723577
17429,6939,1.0
17429,1299,0.07782369146005509
17490,6939,0.4090909090909091
17490,58453,1.0
17490,3356,0.2760416666666667
17490,58453,1.0
17490,6453,0.09090909090909091
17490,3356,0.13636363636363635
17621,6939,0.49647981684070897
17621,6939,0.06222971284279825
17621,1299,0.20657254838571762
17621,3356,0.15706487333690847
17622,6939,0.5421011902885744
17622,3356,0.17661091076744365
17622,6939,0.06213503649635036
17622,1299,0.15618894312572523
17623,6939,0.0604868650547895
17623,6939,0.5745577951460304
17623,3356,0.13105022273560232
17623,1299,0.13308873609402042
17633,1299,0.08272058823529412
17633,6939,0.41818181818181815
17638,6939,0.4162679425837321
17638,1299,0.09585155225185833
17638,6939,0.05653594494316485
17739,1299,0.08333333333333333
17775,6939,0.5454545454545454
17775,3356,0.09090909090909091
17775,58453,0.09594671201814059
17775,3356,0.14022907015235989
17775,1299,0.09830046883618311
17775,6939,0.0788915141593713
17776,58453,1.0
17776,3356,0.16666666666666666
17776,174,0.08333333333333333
17781,1299,0.08203125
17789,55933,1.0
17789,6939,1.0
17799,6939,0.10205483975610373
17799,6939,0.4090909090909091
17799,1299,0.12359268194611983
17799,3356,0.1013520305589063
17816,3356,0.10306389464711928
17816,6939,0.3995601173020527
17816,6939,0.06242572428855914
17816,1299,0.12456589474003527
17897,3356,0.06565656565656565
17897,6939,0.46969696969696967
17897,1299,0.08333333333333333
17962,6939,0.36363636363636365
17962,3356,0.08333333333333334
17962,174,0.13636363636363635
17962,58453,1.0
17962,3356,0.10474946883852693
17962,6939,0.062131137865911235
17962,1299,0.1241368626062323
17964,1299,0.11675055928411633
17964,3356,0.09538817340830763
17964,6939,0.08617118236805038
17968,1299,0.125
17968,701,0.09090909090909091
17968,6939,0.5
17968,6939,0.0625
17968,3356,0.10416666666666667
18118,6939,0.05410362219165521
18118,1299,0.08333333333333333
18239,58453,0.09090909090909091
18239,1299,0.06770833333333333
18239,6939,0.4090909090909091
18241,6939,0.4242424242424242
18241,3356,0.09090909090909091
18241,58453,1.0
18241,174,0.07575757575757575
18241,3356,0.109375
18241,3491,0.34515542328042326
18241,141174,0.34515542328042326
18241,58453,0.62880291005291
18242,174,0.6909722222222222
18245,1299,0.08333333333333333
18257,1299,0.2727272727272727
18257,6939,0.22727272727272727
18257,3257,0.09090909090909091
18257,2914,0.18181818181818182
18257,20473,1.0
18257,174,0.18181818181818182
23650,6939,0.4090909090909091
23650,1299,0.08333333333333333
23650,174,0.06035168314299164
23724,174,0.05977535711558388
23724,6939,0.4094656682962683
23724,1299,0.08318925396771752
23771,6939,0.08333333333333333
23771,1299,0.16076754385964911
23841,3356,0.21236494597839137
23841,58453,0.8211868080565559
23842,6939,0.0576171875
23842,1299,0.13444010416666666
23842,3356,0.12076822916666667
23844,702,0.09090909090909091
23844,6939,0.5909090909090909
23844,1299,0.05563446969696969
23844,6453,0.9193097682128211
23844,140591,0.9710092730584535
23844,3356,0.07659975782414306
23848,3356,0.09090909090909091
23848,6939,0.5454545454545454
23848,6939,0.060704022988505746
23848,1299,0.11278735632183907
