dimension,cn_gini,cn_hhi,global_gini,global_hhi,cn_n
prefix,0.9428996225846445,0.04753938215470995,0.8494817428223458,0.0014299830143143742,5211
hostname,0.9016098824111681,0.05396420151599564,0.9921310597075969,0.008116149534608433,437
org_control,0.31186308063324025,0.01576824114666881,0.19938301179007697,0.00012746353951028627,1605
ixp_memberships,0.530348946314001,0.015460541736927865,0.5219511027711161,0.00040340238261696575,188
