ns_name,zone_count
ns.bta.net.cn,11
dns1.sd.edu.cn,11
ns2.bta.net.cn,11
clark.ns.cloudflare.com,11
ns1.nsfc.gov.cn,11
desiree.ns.cloudflare.com,11
brianna.ns.cloudflare.com,11
n2.nsfc.gov.cn,11
b9.share-dns.net,11
a9.share-dns.com,11
dns2.resource.edu.cn,11
dns1.resource.edu.cn,11
ns1.siteground.net,11
ns2.siteground.net,11
a5-66.akam.net,11
ns1.stc2.tdnsstic1.cn,11
ns3.markmonitor.com,11
ns5.markmonitor.com,10
ns3-01.azure-dns.cn,10
ns1-01.azure-dns.cn,10
ns12.bigwww.com,10
a11-64.akam.net,10
ns11.bigwww.com,10
ns3.xdnsvip.info,10
ns3.nsfc.gov.cn,10
ns1.xdnsvip.cn,10
dns.cnmsn.net,10
ns2.xdnsvip.com,10
frank.dnspod.net,10
lynn.ns.cloudflare.com,10
old.dnspod.net,10
dns2.c01.nsone.net.cn,10
dns7.360safe.com,10
dns8.360safe.com,10
ns3-06.azure-dns-1.cn,10
ns1-06.azure-dns-1.cn,10
ns4.goldenname.com,10
dns2.360safe.com,10
dns1.360safe.com,10
ns4-06.azure-dns-1.cn,10
dns3.360safe.com,10
ns7.cnolnic.net,10
ns8.cnolnic.net,10
ns2-06.azure-dns-1.cn,10
ns4.nsfc.gov.cn,10
riya.ns.cloudflare.com,10
ns2.dnsv3.com,10
ns1.dnsv3.com,10
nick.ns.cloudflare.com,10
dns.bizcn.com,10
ns1.hwclouds-dns.com,10
cloud1.cdns.cn,10
dns3.comlaude-dns.co.uk,10
dns1.comlaude-dns.com,10
dns2.comlaude-dns.net,10
dns4.comlaude-dns.eu,10
dns1.c01.nsone.net.cn,10
cloud2.cdns.cn,10
ryan.ns.cloudflare.com,9
chad.ns.cloudflare.com,9
ns4-02.azure-dns.cn,9
ns2-02.azure-dns.cn,9
ns2-01.azure-dns.cn,9
ns4-01.azure-dns.cn,9
robert.ns.cloudflare.com,9
santino.ns.cloudflare.com,9
dns2.sd.edu.cn,9
dns5.hichina.com,9
dns6.hichina.com,9
ns4.aliyun.com,9
dana.ns.cloudflare.com,9
ns3-08.azure-dns-2.cn,9
ns1-08.azure-dns-2.cn,9
ns2-08.azure-dns-2.cn,9
ns3.aliyun.com,9
anirban.ns.cloudflare.com,9
aria.ns.cloudflare.com,9
hal.ns.cloudflare.com,9
yolanda.ns.cloudflare.com,9
dell.ns.cloudflare.com,9
ns4-08.azure-dns-2.cn,9
ns5.aliyun.com,9
ns1.vod1.tdnsvod1.cn,9
b12.share-dns.net,9
a12.share-dns.com,9
b1.share-dns.net,9
jakub.ns.cloudflare.com,9
c.dnspod.com,9
a.dnspod.com,9
anastasia.ns.cloudflare.com,9
b.dnspod.com,9
b6.share-dns.net,9
donald.ns.cloudflare.com,9
a6.share-dns.com,9
nelci.ns.cloudflare.com,9
a1.share-dns.com,9
emily.ns.cloudflare.com,9
sara.ns.cloudflare.com,9
ns2.dns-parking.com,9
dan.ns.cloudflare.com,9
henrik.ns.cloudflare.com,9
b10.share-dns.net,9
titan.ns.cloudflare.com,9
ns1.stc1.tdnsdl1.cn,9
a10.share-dns.com,9
ollie.ns.cloudflare.com,9
ns1.dns-parking.com,9
tl88-7.tl88.net,8
tl88-4.tl88.net,8
tl88-3.tl88.net,8
ns3-02.azure-dns.cn,8
ns1-02.azure-dns.cn,8
ns-unicom.bytedns.com,8
ns20.dns.net.cn,8
ns2.oray.net,8
ns1.oray.net,8
ns3.sina.com.cn,8
byron.ns.cloudflare.com,8
ns1.china-online.com.cn,8
pns1.zdnscloud.net,8
ns1.sina.com.cn,8
norman.ns.cloudflare.com,8
ns-mobile.bytedns.com,8
clayton.ns.cloudflare.com,8
ns2.sina.com.cn,8
dykh-tau.ns.atrustdns.com,8
chip.ns.cloudflare.com,8
joyce.ns.cloudflare.com,8
ulla.ns.cloudflare.com,8
cass.ns.cloudflare.com,8
ns6.markmonitor.com,8
gabriella.ns.cloudflare.com,8
ns1.china.org.cn,8
b5.share-dns.net,8
a5.share-dns.com,8
dns9.360safe.com,8
ns4-03.azure-dns.cn,8
ns2.cdnhwc10.com,8
ns22.cdnhwc10.com,8
eugene.ns.cloudflare.com,8
lina.ns.cloudflare.com,8
ns3-03.azure-dns.cn,8
ns2.gname-dns.com,8
ns1.gname-dns.com,8
ns3.google.com,8
ns1-03.azure-dns.cn,8
ns1.google.com,8
ns4.google.com,8
ns1.bytedns.com,8
sue.ns.cloudflare.com,8
aragorn.ns.cloudflare.com,8
ns2.google.com,8
ns16.bigwww.com,8
elliot.ns.cloudflare.com,8
ns15.bigwww.com,8
asa.ns.cloudflare.com,8
tina.ns.cloudflare.com,8
curt.ns.cloudflare.com,8
lou.ns.cloudflare.com,8
ns1.hwclouds-dns.net,8
ns13.bigwww.com,8
ns-telecom.bytedns.com,8
ns2-03.azure-dns.cn,8
ns2.bytedns.com,8
kimora.ns.cloudflare.com,8
aleena.ns.cloudflare.com,8
ns14.bigwww.com,8
a5-65.akam.net,7
tl88-2.tl88.net,7
matteo.ns.cloudflare.com,7
ns1-04.azure-dns-1.cn,7
cloe.ns.cloudflare.com,7
gns1.huaweicloud-dns.org,7
berg.dnspod.net,7
v6ns2.dnspod.net,7
about.dnspod.net,7
ns2.adstyle.cn,7
kay.ns.cloudflare.com,7
a1-253.akam.net,7
v6ns1.dnspod.net,7
robin.ns.cloudflare.com,7
dns2.g01.ns1global.org,7
dns1.g01.ns1global.org,7
ns-telecom.volc-dns.net,7
a8-64.akam.net,7
liv.ns.cloudflare.com,7
ns-unicom.volc-dns.com,7
ns-mobile.volc-dns.com,7
a13-67.akam.net,7
ns2.volc-dns.net,7
ned.ns.cloudflare.com,7
ns1.volc-dns.com,7
isla.ns.cloudflare.com,7
olivia.ns.cloudflare.com,7
haley.ns.cloudflare.com,7
a2-65.akam.net,7
ns.nagor.com.cn,7
darling.ns.atrustdns.com,7
derek.ns.cloudflare.com,7
imani.ns.cloudflare.com,7
ns2.hosting.edu.cn,7
ns2.dnsv4.com,7
ns1.dnsv4.com,7
ns.nagor.cn,7
gordon.ns.cloudflare.com,7
ns1.adstyle.cn,7
vick.ns.cloudflare.com,7
vin.ns.cloudflare.com,7
ns4-09.azure-dns-2.cn,7
dns3.g01.ns1global.org,7
dns.jiangxi.gov.cn,7
jxdns.jiangxi.gov.cn,7
irma.ns.cloudflare.com,7
ns1-09.azure-dns-2.cn,7
ns.edong.com,7
ns2.ndns.cn,7
ns1.ndns.cn,7
ns1.edong.com,7
dns3.c01.nsone.net.cn,7
lindsey.ns.cloudflare.com,7
ens12.bigwww.com,7
ens11.bigwww.com,7
jacob.ns.cloudflare.com,7
ns2-09.azure-dns-2.cn,7
venus.ns.cloudflare.com,7
zara.ns.cloudflare.com,7
tess.ns.cloudflare.com,7
dns4.c01.nsone.net.cn,7
amanda.ns.cloudflare.com,7
samara.ns.cloudflare.com,7
ariadne.ns.cloudflare.com,7
rustam.ns.cloudflare.com,7
a7-65.akam.net,7
ns3-04.azure-dns-1.cn,7
dalary.ns.cloudflare.com,7
udns2.cscdns.uk,7
ns2-04.azure-dns-1.cn,7
kevin.ns.cloudflare.com,7
ns3-09.azure-dns-2.cn,7
a7-64.akam.net,7
crystal.ns.cloudflare.com,7
patrick.ns.cloudflare.com,7
ns4-04.azure-dns-1.cn,7
udns1.cscdns.net,7
ns2.amzndns-cn.com,6
ns1.amzndns-cn.com,6
ns2.amzndns-cn.cn,6
ns2.amzndns-cn.biz,6
ns2.amzndns-cn.net,6
chloe.ns.cloudflare.com,6
ns1.amzndns-cn.cn,6
ns1.amzndns-cn.net,6
ns1.amzndns-cn.biz,6
thea.ns.cloudflare.com,6
aisha.ns.cloudflare.com,6
pns2.zdnscloud.biz,6
surina.ns.cloudflare.com,6
reindeer.dnspod.net,6
few.dnspod.net,6
leo.dnspod.net,6
change.dnspod.net,6
drake.ns.cloudflare.com,6
joaquin.ns.cloudflare.com,6
gina.ns.cloudflare.com,6
monroe.ns.cloudflare.com,6
