asn,rank,name
4837,125,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
4134,160,"CHINANET-BACKBONE No.31,Jin-rong Street"
9808,223,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd."
9929,243,CUII CHINA UNICOM Industrial Internet Backbone
4808,473,CHINA169-BJ China Unicom Beijing Province Network
4847,570,CNIX-AP China Networks Inter-Exchange
17621,690,CNCGROUP-SH China Unicom Shanghai network
4812,705,CHINANET-SH-AP China Telecom Group
56048,791,CMNET-BEIJING-AP China Mobile Communicaitons Corporation
4809,809,CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network
