asn,category,tags
49152,Other,Software Development|Computer and Information Technology|
212993,Other,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Personal ASN|"
57346,Other,"Hotels, Motels, Inns, Other Traveler Accommodation|Travel and Accommodation|"
204802,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV|
57348,Other,Software Development|Computer and Information Technology|
204818,ISP,Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology|
24600,ISP,Tranco 10k Host|Computer and Information Technology|Internet Service Provider (ISP)|Phone Provider
196633,Government,"Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration|"
8218,ISP,Carrier|Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV
213018,Other,"Museums, Libraries, and Entertainment|Recreation, Sports, and Performing Arts|"
57373,Academic/Edu,Education and Research|
204835,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV|
8228,ISP,"Computer and Information Technology|Internet Service Provider (ISP)|Law, Business, and Consulting Services|Service"
214935,Unknown,
196658,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
213047,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Hosting and Cloud Provider|
196670,ISP,Government and Public Administration|Software Development|Health Care Services|Finance and Insurance
8255,Other,Tranco 10k Host|Technology Consulting Services|Software Development|Computer and Information Technology
204869,Other,Not Validating RPKI ROV|Computer and Information Technology|Technology Consulting Services|
49230,Other,Computer and Information Technology|
196689,Eyeball,Service|Eyeball|
41044,Other,"Retail Stores, Wholesale, and E-commerce Sites|"
41045,Other,"Computer and Information Technology|Media, Publishing, and Broadcasting|Music and Video Industry|Online Informational Content"
204887,ISP,"Retail Stores, Wholesale, and E-commerce Sites|Computer and Information Technology|Internet Service Provider (ISP)|"
204902,Unknown,
213095,Other,Software Development|Computer and Information Technology|
41064,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Tranco 10k Host|
8304,ISP,VPN Host|Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV
8309,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
8310,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
213110,ISP,"Community Groups and Nonprofits|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Carrier|"
57468,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
41090,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
24711,Other,Service|
213135,Other,"Community Groups and Nonprofits|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|"
41114,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV
196765,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology|
196766,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
8352,Other,"Construction and Real Estate|Real Estate (Residential and/or Commercial)|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Validating RPKI ROV"
204960,Unknown,
49314,Other,"Music and Video Industry|Computer and Information Technology|Media, Publishing, and Broadcasting|Online Music and Video Streaming Services"
196773,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
41128,ISP,Internet Service Provider (ISP)|Phone Provider|Computer and Information Technology|
8361,Other,"Retail Stores, Wholesale, and E-commerce Sites|Validating RPKI ROV|"
8362,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Validating RPKI ROV
174,ISP,T1|Computer and Information Technology|Internet Service Provider (ISP)|Validating RPKI ROV
204975,ISP,Software Development|Computer and Information Technology|Government and Public Administration|Internet Service Provider (ISP)
49328,ISP,Computer and Information Technology|Software Development|Internet Service Provider (ISP)|
24763,Government,"Computer and Information Technology|Government and Public Administration|Computer and Network Security|Military, Defense, National Security, and International Affairs"
213184,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
198682,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
41157,ISP,"Hosting and Cloud Provider|Service|Law, Business, and Consulting Services|Computer and Information Technology"
24776,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
8399,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
205010,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
205021,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
41191,Other,Computer and Information Technology|
57581,ISP,"Media, Publishing, and Broadcasting|Software Development|Computer and Information Technology|Online Informational Content"
57584,Other,"Media, Publishing, and Broadcasting|Not Validating RPKI ROV|"
213233,Other,"Media, Publishing, and Broadcasting|Music and Video Industry|"
57591,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
213244,Eyeball,"Retail Stores, Wholesale, and E-commerce Sites|Personal ASN|Eyeball|"
261,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
196869,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
213253,Academic/Edu,Education and Research|Personal ASN|
24843,Other,"Tranco 10k Host|Radio and Television Providers|Media, Publishing, and Broadcasting|VPN Host"
205068,Other,Computer and Information Technology|Software Development|
41233,Other,"Service|Software Development|Computer and Information Technology|Banks, Credit Card Companies, Mortgage Providers"
213267,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology|Software Development|Personal ASN
49434,ISP,Server Hosting|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
49441,Other,"Retail Stores, Wholesale, and E-commerce Sites|"
57633,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
294,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
8487,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
49449,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV|
57642,Enterprise,"Service|Law, Business, and Consulting Services|"
49451,Other,"Retail Stores, Wholesale, and E-commerce Sites|Clothing, Fashion, Luggage|"
57654,Content/CDN,Computer and Information Technology|Service|Hosting and Cloud Provider|
