asn,rank,name
3320,17,DTAG Deutsche Telekom AG
33891,35,CORE-BACKBONE Core-Backbone GmbH
5405,38,INTERDOTLINK Inter.link GmbH
9009,58,M247 M247 Europe SRL
13335,69,CLOUDFLARENET
41095,110,IPTP IPTP LTD
13237,186,LAMBDANET-AS euNetworks GmbH
5400,205,BT British Telecommunications PLC
8881,237,VERSATEL 1&1 Versatel Deutschland GmbH
3209,268,VODANET Vodafone GmbH
