asn,category,tags
41086,ISP,Internet Service Provider (ISP)|Service|Research and Development Organizations|Software Development
8319,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
213118,Enterprise,"Service|Law, Business, and Consulting Services|"
213125,ISP,Phone Provider|Software Development|Travel and Accommodation|Internet Service Provider (ISP)
213126,Other,Other|
41095,ISP,Carrier|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
213127,Other,Service|Computer and Information Technology|Software Development|
57481,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
49294,Other,"Metal, Glass, Wood, and Paper Manufacturing|Manufacturing|Machinery|Electronics and Computer Components"
204942,ISP,"Service|Internet Service Provider (ISP)|Computer and Information Technology|Law, Business, and Consulting Services"
49296,ISP,Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
213136,ISP,"Computer and Information Technology|Internet Service Provider (ISP)|Media, Publishing, and Broadcasting|Service"
41108,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Server Hosting
213140,Enterprise,"Service|Law, Business, and Consulting Services|Computer and Information Technology|Manufacturing"
41110,ISP,Home ISP|Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV
213141,Other,Chemical and Pharmaceutical Manufacturing|Manufacturing|
196763,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
8351,ISP,Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
49312,Content/CDN,"Software Development|Computer and Information Technology|Media, Publishing, and Broadcasting|Hosting and Cloud Provider"
213151,Other,"Personal ASN|Service|Social Assistance (Temporary Shelters, Emergency Relief, Child Day Care, etc)|Community Groups and Nonprofits"
8354,Other,"Investment, Portfolio Management, Pensions and Funds|Finance and Insurance|Validating RPKI ROV|"
204965,Enterprise,"Real Estate (Residential and/or Commercial)|Service|Law, Business, and Consulting Services|Construction and Real Estate"
8360,ISP,"Finance and Insurance|Service|Insurance Carriers and Agencies|Law, Business, and Consulting Services"
49321,Other,"Construction and Real Estate|Metal, Glass, Wood, and Paper Manufacturing|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Buildings (Residential or Commercial)"
213162,Government,"Military, Defense, National Security, and International Affairs|Computer and Information Technology|Software Development|Retail Stores, Wholesale, and E-commerce Sites"
8365,ISP,"Eyeball|Service|Computer and Information Technology|Retail Stores, Wholesale, and E-commerce Sites"
204977,Enterprise,"Service|Law, Business, and Consulting Services|Manufacturing|Retail Stores, Wholesale, and E-commerce Sites"
41139,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
213171,Other,Computer and Information Technology|
8373,Enterprise,"Tranco 10k Host|Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance|Not Validating RPKI ROV"
8375,ISP,"Server Hosting|Internet Service Provider (ISP)|Retail Stores, Wholesale, and E-commerce Sites|Computer and Information Technology"
24764,Other,"Software Development|Manufacturing|Computer and Information Technology|Retail Stores, Wholesale, and E-commerce Sites"
57533,Other,"Automotive and Transportation|Manufacturing|Retail Stores, Wholesale, and E-commerce Sites|Motor Vehicles and Parts"
24766,Enterprise,"Law, Business, and Consulting Services|Service|"
