asn,rank,name
9498,20,BBIL-AP BHARTI Airtel Ltd.
4755,33,TATACOMM-AS TATA Communications formerly VSNL is Leading ISP
9583,103,SIFY-AS-IN Sify Limited
55836,119,RELIANCEJIO-IN Reliance Jio Infocomm Limited
55410,157,VIL-AS-AP Vodafone Idea Ltd
45820,194,TTSL-MEISISP Tata Teleservices ISP AS
9730,243,BHARTITELESONIC-AS-IN-AP Bharti Telesonic Ltd
18229,245,CTRLS-AS-IN CtrlS
17439,252,NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED
45117,289,INPL-IN-AP Ishans Network
