asn,rank,name
1299,2,TWELVE99 Arelion Sweden AB
174,3,COGENT-174
5511,12,Opentransit Orange S.A.
8220,40,COLT COLT Technology Services Group Limited
9009,53,M247 M247 Europe SRL
13335,69,CLOUDFLARENET
39801,87,FRANCE-IX-L3P France IX Services SASU
35280,181,F5 F5 Networks SARL
8218,187,NEO-ASN Zayo Infrastructure France SA
30781,244,JAGUAR-AS Free Pro SAS
