asn,rank,name
24490,60,TEIN2-SG-AP Trans-Eurasia Information Network TEIN2 - SG
4134,129,"CHINANET-BACKBONE No.31,Jin-rong Street"
4837,229,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
9808,294,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd."
4808,602,CHINA169-BJ China Unicom Beijing Province Network
4847,604,CNIX-AP China Networks Inter-Exchange
10111,712,ZEONET-AS-AP Zeofast Network
4809,723,CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network
4812,776,CHINANET-SH-AP China Telecom Group
56048,813,CMNET-BEIJING-AP China Mobile Communicaitons Corporation
