asn,rank,name
7660,43,APAN-JP Asia Pacific Advanced Network - Japan
9009,53,M247 M247 Europe SRL
2497,85,IIJ Internet Initiative Japan Inc.
20473,98,AS-VULTR
60068,122,CDN77 Datacamp Limited
2516,131,KDDI KDDI CORPORATION
17676,147,GIGAINFRA SoftBank Corp.
199524,276,GCORE G-Core Labs S.A.
2500,312,WIDE-BB WIDE Project
4713,326,OCN NTT Communications Corporation
