asn,rank,name
4134,107,"CHINANET-BACKBONE No.31,Jin-rong Street"
4837,189,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
9808,265,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd."
24490,360,TEIN2-SG-AP
4808,455,CHINA169-BJ China Unicom Beijing Province Network
4847,552,CNIX-AP China Networks Inter-Exchange
4809,562,CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network
17621,652,CNCGROUP-SH China Unicom Shanghai network
4812,703,CHINANET-SH-AP China Telecom Group
56048,825,CMNET-BEIJING-AP China Mobile Communicaitons Corporation
