asn,rank,name
174,3,COGENT-174
3320,19,DTAG Deutsche Telekom AG
33891,34,CORE-BACKBONE Core-Backbone GmbH
5405,66,INTERDOTLINK Inter.link GmbH
137409,87,GSLNETWORKS-AS-AP GSL Networks Pty LTD
13237,179,LAMBDANET-AS euNetworks GmbH
8881,237,VERSATEL 1&1 Versatel Deutschland GmbH
3209,265,VODANET Vodafone GmbH
9009,364,M247 M247 Europe SRL
24961,378,MYLOC-AS WIIT AG
