asn,rank,name
3320,24,DTAG Deutsche Telekom AG
33891,37,CORE-BACKBONE Core-Backbone GmbH
5405,85,INTERDOTLINK Inter.link GmbH
13237,174,LAMBDANET-AS euNetworks GmbH
8881,214,VERSATEL 1&1 Versatel Deutschland GmbH
3209,234,VODANET Vodafone GmbH
21859,256,ZEN-ECN
50629,330,LWLCOM LWLcom GmbH
24961,381,MYLOC-AS myLoc managed IT AG
34549,429,MEER-AS meerfarbig GmbH & Co. KG
