asn,category,tags
40963,Content/CDN,"Computer and Information Technology|Retail Stores, Wholesale, and E-commerce Sites|Hosting and Cloud Provider|"
196613,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Education and Research|
204805,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
196615,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Community Groups and Nonprofits|
24586,ISP,Tranco 10k Host|Other|Internet Service Provider (ISP)|Computer and Information Technology
8211,Other,"Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance|Investment, Portfolio Management, Pensions and Funds|"
24595,Government,"Service|Accountants, Tax Preparers, Payroll Services|Finance and Insurance|Government and Public Administration"
40985,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
213023,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
196640,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV|
213028,Other,"Retail Stores, Wholesale, and E-commerce Sites|Service|"
213030,ISP,Computer and Information Technology|Hosting and Cloud Provider|Internet Service Provider (ISP)|
213035,ISP,Content|Computer and Information Technology|Hosting and Cloud Provider|Internet Service Provider (ISP)
139308,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Hosting and Cloud Provider|
8238,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
49206,ISP,Computer and Information Technology|Software Development|Internet Service Provider (ISP)|
57400,Enterprise,"Service|Law, Business, and Consulting Services|"
213050,Other,Service|
213052,Other,"Personal ASN|Online Informational Content|Media, Publishing, and Broadcasting|"
57409,ISP,"Service|Hosting and Cloud Provider|Law, Business, and Consulting Services|Software Development"
24642,ISP,Content|Server Hosting|Internet Service Provider (ISP)|Computer and Information Technology
24643,Other,Service|
213061,ISP,"Freight, Shipment, and Postal Services|Internet Service Provider (ISP)|Computer and Information Technology|"
41031,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
213065,Other,Other|
24652,ISP,"Military, Defense, National Security, and International Affairs|Government and Public Administration|Internet Service Provider (ISP)|Computer and Information Technology"
41037,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
41038,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
41047,Other,"ToR Services|Media, Publishing, and Broadcasting|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Community Groups and Nonprofits"
8283,Content/CDN,Content|Computer and Information Technology|Hosting and Cloud Provider|Validating RPKI ROV
57440,ISP,Internet Service Provider (ISP)|Software Development|Computer and Information Technology|
49249,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
49250,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
213099,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Government|
213100,Other,"Media, Publishing, and Broadcasting|Online Informational Content|"
213101,Other,"Food, Grocery, Beverages|Retail Stores, Wholesale, and E-commerce Sites|"
8312,Content/CDN,Validating RPKI ROV|Computer and Information Technology|Hosting and Cloud Provider|
8315,Content/CDN,"Content|Technology Consulting Services|Law, Business, and Consulting Services|Service"
213120,ISP,Tranco 10k Host|Service|Hosting and Cloud Provider|Online Music and Video Streaming Services
204933,Content/CDN,"Software Development|Computer and Information Technology|Law, Business, and Consulting Services|Service"
8328,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Software Development|
213132,Other,Travel and Accommodation|
57485,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
196752,ISP,Content|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
49305,Other,Computer and Information Technology|Software Development|
24730,Enterprise,"Corporate/Enterprise|Museums, Libraries, and Entertainment|Not Validating RPKI ROV|"
49307,Unknown,
41117,Enterprise,"Computer and Information Technology|Service|Law, Business, and Consulting Services|"
57504,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
204963,ISP,Internet Service Provider (ISP)|Software Development|Computer and Information Technology|
213161,Other,"Investment, Portfolio Management, Pensions and Funds|Finance and Insurance|"
57515,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
204973,ISP,Hosting and Cloud Provider|Computer and Information Technology|Internet Service Provider (ISP)|
57518,Enterprise,"Law, Business, and Consulting Services|Service|"
204976,Content/CDN,Computer and Information Technology|Hosting and Cloud Provider|
24753,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
204982,Academic/Edu,Personal ASN|Education and Research|
57527,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
204983,Content/CDN,Education and Research|Elementary and Secondary Schools|Server Hosting|
41153,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV|
213192,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology|
24785,ISP,Carrier|Computer and Information Technology|Internet Service Provider (ISP)|
213208,ISP,Internet Service Provider (ISP)|Software Development|Computer and Information Technology|
205019,ISP,Validating RPKI ROV|Software Development|Internet Service Provider (ISP)|Computer and Information Technology
205024,Enterprise,"Computer and Information Technology|Law, Business, and Consulting Services|Service|"
41193,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
49405,ISP,Software Development|Computer and Information Technology|Internet Service Provider (ISP)|
8455,ISP,Carrier|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
41227,Other,Computer and Information Technology|
57617,Other,"Investment, Portfolio Management, Pensions and Funds|Finance and Insurance|"
213268,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Server Hosting|Content
205077,Other,Computer and Information Technology|
41241,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
57626,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|Health Care Services
213279,ISP,Personal ASN|Software Development|Internet Service Provider (ISP)|Computer and Information Technology
8483,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
57638,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
24875,ISP,Carrier|Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology
213291,ISP,Computer and Information Technology|Software Development|Internet Service Provider (ISP)|
49453,ISP,Eyeball|Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology
205111,Content/CDN,Tranco 10k Host|Hosting and Cloud Provider|Service|Computer and Network Security
49471,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
213324,Government,"Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration|"
57685,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
393559,ISP,Mobile Data/Carrier|Software Development|Computer and Information Technology|Validating RPKI ROV
49500,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
213346,Academic/Edu,Education and Research|Personal ASN|
49509,Other,"Online Informational Content|Media, Publishing, and Broadcasting|"
213350,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
213351,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
213352,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
24938,ISP,VPN Host|Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology
57706,ISP,"Online Informational Content|Internet Service Provider (ISP)|Media, Publishing, and Broadcasting|Computer and Information Technology"
57717,Content/CDN,ToR Services|Computer and Information Technology|Validating RPKI ROV|Server Hosting
205185,ISP,Carrier|Internet Service Provider (ISP)|Computer and Information Technology|Software Development
8582,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
49544,ISP,Content|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
197000,ISP,Internet Critical Infra|Community Groups and Nonprofits|Computer and Information Technology|Internet Service Provider (ISP)
8587,ISP,Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
57744,Other,"Freight, Shipment, and Postal Services|"
197016,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Government|
213401,Enterprise,"Retail Stores, Wholesale, and E-commerce Sites|Law, Business, and Consulting Services|Service|"
49562,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
57758,ISP,Content|Internet Service Provider (ISP)|Computer and Information Technology|Server Hosting
8608,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Validating RPKI ROV|
57771,Other,"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Community Groups and Nonprofits|"
213427,Enterprise,Corporate/Enterprise|Content|
205247,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
57795,ISP,Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
41420,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
25042,Content/CDN,Software Development|Computer and Information Technology|Hosting and Cloud Provider|
25049,Other,Service|
49627,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
41436,Content/CDN,VPN Host|Hosting and Cloud Provider|Computer and Information Technology|Service
41441,ISP,Hosting and Cloud Provider|Computer and Information Technology|Internet Service Provider (ISP)|
41445,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
57845,Enterprise,"Service|Law, Business, and Consulting Services|"
8694,Other,"Validating RPKI ROV|Freight, Shipment, and Postal Services|Passenger Transit (Car, Bus, Taxi, Subway)|"
205304,Other,Health Care Services|
205307,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
213504,Unknown,
205316,Other,Computer and Information Technology|
213511,Unknown,
41480,ISP,Content|Computer and Information Technology|Internet Service Provider (ISP)|Server Hosting
57866,ISP,Carrier|Computer and Information Technology|Internet Service Provider (ISP)|Validating RPKI ROV
197132,ISP,Insurance Carriers and Agencies|Finance and Insurance|Health Care Services|
49685,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
213536,Unknown,
8737,ISP,Eyeball|Internet Service Provider (ISP)|Phone Provider|Computer and Information Technology
197156,ISP,Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)|
213542,Unknown,
49713,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology|
41529,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology|
25151,ISP,VPN Host|Software Development|Internet Service Provider (ISP)|Computer and Information Technology
8768,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Phone Provider|
25152,Government,"Internet Critical Infra|Government and Public Administration|Government and Regulatory Agencies, Administrations, Departments, and Services|Community Groups and Nonprofits"
213567,Unknown,
213577,Unknown,
41552,Other,"Content|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Community Groups and Nonprofits|"
25181,Other,"Not Validating RPKI ROV|Manufacturing|Retail Stores, Wholesale, and E-commerce Sites|Media, Publishing, and Broadcasting"
25182,ISP,Content|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
