asn,category,tags
131169,ISP,"Media, Publishing, and Broadcasting|Phone Provider|Law, Business, and Consulting Services|Service"
131170,Other,"Electronics and Computer Components|Print Media (Newspapers, Magazines, Books)|Software Development|Computer and Information Technology"
131181,Other,Computer and Information Technology|Not Validating RPKI ROV|
131190,ISP,"Construction and Real Estate|Investment, Portfolio Management, Pensions and Funds|Insurance Carriers and Agencies|Finance and Insurance"
131210,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
131215,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology|
131218,Content/CDN,Computer and Information Technology|Hosting and Cloud Provider|
131223,ISP,Hosting and Cloud Provider|Software Development|Internet Service Provider (ISP)|Computer and Information Technology
131226,Eyeball,"Colleges, Universities, and Professional Schools|Education and Research|Research and Development Organizations|Not Validating RPKI ROV"
131232,ISP,"Software Development|Internet Service Provider (ISP)|Accountants, Tax Preparers, Payroll Services|Government and Public Administration"
131235,ISP,Software Development|Manufacturing|Computer and Information Technology|Internet Service Provider (ISP)
131250,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
131255,ISP,"Software Development|Service|Law, Business, and Consulting Services|Insurance Carriers and Agencies"
131256,Enterprise,"Investment, Portfolio Management, Pensions and Funds|Service|Law, Business, and Consulting Services|Finance and Insurance"
131262,Other,"Not Validating RPKI ROV|Machinery|Manufacturing|Retail Stores, Wholesale, and E-commerce Sites"
131263,Other,"Health Care Services|Service|Hospitals and Medical Centers|Social Assistance (Temporary Shelters, Emergency Relief, Child Day Care, etc)"
131265,Content/CDN,"Not Validating RPKI ROV|Hosting and Cloud Provider|Law, Business, and Consulting Services|Software Development"
131269,ISP,Eyeball|Technology Consulting Services|Computer and Information Technology|Internet Service Provider (ISP)
131277,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Phone Provider|
131283,Other,"Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers|"
131299,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV|
131302,Other,Chemical and Pharmaceutical Manufacturing|Manufacturing|
131308,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
131317,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
131333,Other,Construction and Real Estate|Service|Real Estate (Residential and/or Commercial)|
131442,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
131453,Other,"Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers|"
131458,Content/CDN,"Media, Publishing, and Broadcasting|Technology Consulting Services|Software Development|Computer and Information Technology"
131459,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|
131463,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV|
131468,ISP,"Service|Electronics and Computer Components|Law, Business, and Consulting Services|Online Music and Video Streaming Services"
131473,Academic/Edu,"Research and Development Organizations|Colleges, Universities, and Professional Schools|Education and Research|Academic"
131787,ISP,"Software Development|Computer and Information Technology|Manufacturing|Retail Stores, Wholesale, and E-commerce Sites"
131788,Other,Computer and Information Technology|
131993,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Software Development|
131994,Other,"Not Validating RPKI ROV|Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance|"
131997,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
132004,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)|
132005,Other,Computer and Information Technology|
197555,ISP,Internet Service Provider (ISP)|Computer and Information Technology|
132028,ISP,Utilities (Excluding Internet Service)|Service|Software Development|Water Supply and Irrigation
132043,Other,"Retail Stores, Wholesale, and E-commerce Sites|Tranco 10k Host|"
132051,ISP,Computer and Information Technology|Internet Service Provider (ISP)|
132052,Content/CDN,Computer and Information Technology|Finance and Insurance|Hosting and Cloud Provider|Service
132065,ISP,"Software Development|Law, Business, and Consulting Services|Service|Internet Service Provider (ISP)"
132075,Enterprise,"Computer and Information Technology|Law, Business, and Consulting Services|Service|Personal Care and Lifestyle (Barber Shops, Nail Salons, Diet Centers, Laundry, etc)"
132089,Content/CDN,"Software Development|Service|Computer and Information Technology|Law, Business, and Consulting Services"
132090,Content/CDN,"Software Development|Service|Media, Publishing, and Broadcasting|Computer and Information Technology"
132091,Other,Electronics and Computer Components|Manufacturing|
132108,Other,"Banks, Credit Card Companies, Mortgage Providers|Computer and Information Technology|Finance and Insurance|Construction and Real Estate"
132112,Other,"Retail Stores, Wholesale, and E-commerce Sites|"
132114,Other,"Retail Stores, Wholesale, and E-commerce Sites|"
132115,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|
132116,ISP,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
132122,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology|Software Development|
132135,Other,Automotive and Transportation|Manufacturing|Not Validating RPKI ROV|
132137,ISP,Carrier|Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
132144,ISP,"Computer and Information Technology|Online Informational Content|Internet Service Provider (ISP)|Media, Publishing, and Broadcasting"
132150,ISP,Software Development|Computer and Information Technology|Education and Research|Phone Provider
