asn,rank,name
3356,1,LEVEL3
174,3,COGENT-174
3257,4,GTT-BACKBONE GTT Communications Inc.
2914,5,NTT-DATA-2914
6939,6,HURRICANE
6453,7,AS6453
6461,8,ZAYO-6461
3491,11,CONSOLE-CONNECT-ASN
13786,18,SEABORN
7018,31,ATT-INTERNET4
