asn,rank,name
58453,41,"CMI-INT-HK Level 30, Tower 1"
4134,81,"CHINANET-BACKBONE No.31,Jin-rong Street"
23764,137,CTGNET CTGNet
4809,174,CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network
4837,202,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
9808,266,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd."
24490,333,TEIN2-SG-AP Trans-Eurasia Information Network TEIN2 - SG
209141,347,"CMI-Russia China Mobile International (Russia), LLC"
4808,457,CHINA169-BJ China Unicom Beijing Province Network
4847,546,CNIX-AP China Networks Inter-Exchange
