asn,rank,name
174,3,COGENT-174
6830,26,LibertyGlobal Liberty Global B.V.
20495,37,WEDARE We Dare B.V.
15830,70,Equinix Equinix (EMEA) Acquisition Enterprises B.V.
13335,80,CLOUDFLARENET
137409,91,GSLNETWORKS-AS-AP GSL Networks Pty LTD
20562,112,OPEN-PEERING-AS Broadband Hosting B.V.
60068,133,CDN77 Datacamp Limited
20965,134,GEANT GEANT Vereniging
21320,172,GEANT_IAS_VRF GEANT Vereniging
