asn,category,tags
132234,Other,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Utilities (Excluding Internet Service)|Construction and Real Estate"
132239,Other,"Software Development|Computer and Information Technology|Finance and Insurance|Investment, Portfolio Management, Pensions and Funds"
132244,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Hosting and Cloud Provider
132249,Other,"Automotive and Transportation|Freight, Shipment, and Postal Services|Travel and Accommodation|Manufacturing"
132251,Other,Computer and Information Technology
132272,ISP,"Computer and Information Technology|Law, Business, and Consulting Services|Software Development|Internet Service Provider (ISP)"
132278,Other,Construction and Real Estate|Real Estate (Residential and/or Commercial)
132282,ISP,"Media, Publishing, and Broadcasting|Computer and Information Technology|Service|Software Development"
132296,ISP,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
132303,ISP,Internet Service Provider (ISP)|Computer and Information Technology
132308,Government,"Military, Defense, National Security, and International Affairs|Law, Business, and Consulting Services|Service|Government and Public Administration"
132311,Other,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)"
132314,ISP,Internet Service Provider (ISP)|Computer and Information Technology
132317,ISP,"Computer and Information Technology|Law, Business, and Consulting Services|Education and Research|Service"
132322,ISP,Hosting and Cloud Provider|Internet Service Provider (ISP)|Software Development|Computer and Information Technology
132323,ISP,Eyeball|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
132329,ISP,"Law, Business, and Consulting Services|Media, Publishing, and Broadcasting|Internet Service Provider (ISP)|Hosting and Cloud Provider"
132334,Other,"Music and Video Industry|Media, Publishing, and Broadcasting"
132335,ISP,Content|Not Validating RPKI ROV|Hosting and Cloud Provider|Computer and Information Technology
132338,ISP,"Museums, Libraries, and Entertainment|Internet Service Provider (ISP)|Media, Publishing, and Broadcasting|Computer and Information Technology"
132343,Enterprise,"Not Validating RPKI ROV|Service|Law, Business, and Consulting Services|Finance and Insurance"
132346,Content/CDN,Computer and Information Technology|Hosting and Cloud Provider
132349,Other,Chemical and Pharmaceutical Manufacturing|Manufacturing
132351,Other,"Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance|Community Groups and Nonprofits|Software Development"
132353,Other,"Postal Services and Couriers|Freight, Shipment, and Postal Services|Retail Stores, Wholesale, and E-commerce Sites"
132358,Other,"Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers"
132371,ISP,"Service|Law, Business, and Consulting Services|Insurance Carriers and Agencies|Internet Service Provider (ISP)"
132377,ISP,Not Validating RPKI ROV|Education and Research|Internet Service Provider (ISP)|Computer and Information Technology
132378,Other,"Manufacturing|Retail Stores, Wholesale, and E-commerce Sites"
132383,Other,"Online Informational Content|Media, Publishing, and Broadcasting|Personal ASN"
132384,ISP,"Service|Insurance Carriers and Agencies|Finance and Insurance|Law, Business, and Consulting Services"
132388,Other,Not Validating RPKI ROV|Software Development|Computer and Information Technology
132390,Other,"Radio and Television Providers|Media, Publishing, and Broadcasting|Computer and Information Technology|Music and Video Industry"
132401,ISP,"Radio and Television Providers|Media, Publishing, and Broadcasting|Internet Service Provider (ISP)|Computer and Information Technology"
132410,ISP,Phone Provider|Internet Service Provider (ISP)|Computer and Information Technology
132411,ISP,Phone Provider|Computer and Information Technology|Internet Service Provider (ISP)
