asn,rank,name
20495,15,WEDARE We Dare B.V.
6830,26,LibertyGlobal Liberty Global B.V.
16265,39,LEASEWEB-NETWORK LeaseWeb Network B.V.
15830,72,Equinix Equinix (EMEA) Acquisition Enterprises B.V.
20562,82,OPEN-PEERING-AS Broadband Hosting B.V.
20965,96,GEANT GEANT Vereniging
21320,149,GEANT_IAS_VRF GEANT Vereniging
24785,162,JOINTTRANSIT-AS Broadband Hosting B.V.
5400,187,BT British Telecommunications PLC
8455,228,ATOM86-AS atom86 BV
