asn,rank,name
4134,133,"CHINANET-BACKBONE No.31,Jin-rong Street"
4837,204,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
9808,296,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd."
4808,492,CHINA169-BJ China Unicom Beijing Province Network
4847,592,CNIX-AP China Networks Inter-Exchange
17621,721,CNCGROUP-SH China Unicom Shanghai network
4812,755,CHINANET-SH-AP China Telecom Group
4809,780,CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network
56048,846,CMNET-BEIJING-AP China Mobile Communicaitons Corporation
24400,917,"CMNET-V4SHANGHAI-AS-AP Shanghai Mobile Communications Co.,Ltd."
