asn,rank,name
6830,26,LibertyGlobal Liberty Global B.V.
20495,33,WEDARE We Dare B.V.
15830,68,Equinix Equinix (EMEA) Acquisition Enterprises B.V.
20562,111,OPEN-PEERING-AS Broadband Hosting B.V.
20965,112,GEANT GEANT Vereniging
60068,133,CDN77 Datacamp Limited
21320,149,GEANT_IAS_VRF GEANT Vereniging
24785,182,JOINTTRANSIT-AS Broadband Hosting B.V.
16265,207,LEASEWEB-NETWORK LeaseWeb Network B.V.
8455,224,ATOM86-AS atom86 BV
