asn,category,tags
40963,Content/CDN,"Computer and Information Technology|Retail Stores, Wholesale, and E-commerce Sites|Hosting and Cloud Provider"
196613,ISP,Education and Research|Computer and Information Technology|Internet Service Provider (ISP)
204805,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
196615,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Community Groups and Nonprofits
24586,ISP,Tranco 10k Host|Other|Internet Service Provider (ISP)|Computer and Information Technology
8211,Other,"Investment, Portfolio Management, Pensions and Funds|Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers"
24595,Government,"Government and Public Administration|Finance and Insurance|Accountants, Tax Preparers, Payroll Services|Service"
40985,ISP,Computer and Information Technology|Internet Service Provider (ISP)
204830,Other,Personal ASN|IPv6 only
213023,ISP,Internet Service Provider (ISP)|Computer and Information Technology
213028,Other,"Retail Stores, Wholesale, and E-commerce Sites|Service"
213030,ISP,Computer and Information Technology|Hosting and Cloud Provider|Internet Service Provider (ISP)
213035,ISP,Content|Computer and Information Technology|Hosting and Cloud Provider|Internet Service Provider (ISP)
139308,ISP,Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology
8238,ISP,Computer and Information Technology|Internet Service Provider (ISP)
49206,ISP,Internet Service Provider (ISP)|Software Development|Computer and Information Technology
57400,Enterprise,"Law, Business, and Consulting Services|Service|IPv6 only"
213050,Other,Service
213052,Other,"Validating RPKI ROV|Online Informational Content|Media, Publishing, and Broadcasting|Personal ASN"
57409,ISP,"Law, Business, and Consulting Services|Hosting and Cloud Provider|Software Development|Service"
24642,ISP,Content|Server Hosting|Computer and Information Technology|Internet Service Provider (ISP)
24643,Other,Service
213061,ISP,"Freight, Shipment, and Postal Services|Internet Service Provider (ISP)|Computer and Information Technology"
41031,ISP,Internet Service Provider (ISP)|Computer and Information Technology
213065,Government,Government|Other
24652,ISP,"Computer and Information Technology|Military, Defense, National Security, and International Affairs|Government and Public Administration|Internet Service Provider (ISP)"
41037,ISP,Internet Service Provider (ISP)|Computer and Information Technology
41038,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
41047,Other,"Community Groups and Nonprofits|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Online Informational Content|Media, Publishing, and Broadcasting"
