asn,rank,name
4134,121,"CHINANET-BACKBONE No.31,Jin-rong Street"
4837,181,CHINA169-BACKBONE CHINA UNICOM China169 Backbone
9808,274,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd."
4808,482,CHINA169-BJ China Unicom Beijing Province Network
4847,583,CNIX-AP China Networks Inter-Exchange
17621,682,CNCGROUP-SH China Unicom Shanghai network
4812,731,CHINANET-SH-AP China Telecom Group
56048,786,CMNET-BEIJING-AP China Mobile Communicaitons Corporation
4809,811,CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network
24400,890,"CMNET-V4SHANGHAI-AS-AP Shanghai Mobile Communications Co.,Ltd."
