asn,rank,name
3356,1,"LEVEL3 - Level 3 Parent, LLC"
3257,3,GTT-BACKBONE GTT Communications Inc.
174,4,"COGENT-174 - Cogent Communications, LLC"
2914,5,"NTT-DATA-2914 - NTT America, Inc."
6453,6,AS6453 - TATA COMMUNICATIONS AMERICA INC
6939,7,HURRICANE - Hurricane Electric LLC
6461,8,ZAYO-6461 - Zayo Bandwidth
3491,10,"CONSOLE-CONNECT-ASN - PCCW Global, Inc."
13786,19,"SEABORN - Seabras 1 USA, LLC"
1031,25,PEER1-1031 - PEER 1031 LLC
